"Collection Name","CollectionID","Start Time","Duration in minutes","Maintenance Window Name","Maintenance Window Recurrence","Enabled"
"TS_AppDep","CEN0235B","02:00:00 AM","240","Remote Desktop and Terminal Servers","Occurs the Third Tuesday of every 1 month(s) ","True"
"TS_AppDep.GME","CEN02517","02:00:00 AM","240","GME Terminal Servers","Occurs every 3 week(s) on Tuesday ","True"
"TS_AppDep.GME.ACC","CEN025BD","02:00:00 AM","240","Acceptance GME Terminal Servers","Occurs every 1 week(s) on Tuesday ","True"
"TS_AppDep.GME.ACC._DG1","CEN025BE","02:00:00 AM","240","DG1 Acceptance GME Terminal Servers","Occurs every 1 week(s) on Monday ","True"
"TS_AppDep.GME.ACC._DG2","CEN025BF","02:00:00 AM","240","DG2 Acceptance GME Terminal Servers","Occurs every 1 week(s) on Wednesday ","True"
"TS_AppDep.GME.ACC.AS","CEN025CE","02:00:00 AM","240","Application Specific Acceptance GME Terminal Servers","Occurs every 3 week(s) on Tuesday ","True"
"TS_AppDep.GME.ACC.AS._DG1","CEN025CF","02:00:00 AM","240","DG1 Application Specific Acceptance GME Terminal Servers","Occurs every 1 week(s) on Monday ","True"
"TS_AppDep.GME.ACC.AS._DG2","CEN025D0","02:00:00 AM","240","DG2 Application Specific Acceptance GME Terminal Servers","Occurs every 1 week(s) on Wednesday ","True"
"TS_AppDep.GME.ACC.AS.Allegro","CEN025E2","02:00:00 AM","240","Allegro Application Specific Acceptance GME Terminal Servers","Occurs every 1 week(s) on Tuesday ","True"
"TS_AppDep.GME.ACC.AS.ArcGis","CEN02AD1","02:00:00 AM","240","TS_AppDep.GME.ACC.AS.ArcGis","Occurs every 1 week(s) on Friday ","True"
"TS_AppDep.GME.ACC.AS.ATLAS","CEN02AD2","02:00:00 AM","240","TS_AppDep.GME.ACC.AS.ATLAS","Occurs every 1 week(s) on Friday ","True"
"TS_AppDep.GME.ACC.AS.BPC","CEN025D2","02:00:00 AM","240","BPC Application Specific Acceptance GME Terminal Servers","Occurs every 1 week(s) on Tuesday ","True"
"TS_AppDep.GME.ACC.AS.BPC._DG1","CEN025D3","02:00:00 AM","240","DG1 BPC Application Specific Acceptance GME Terminal Servers","Occurs every 1 week(s) on Monday ","True"
"TS_AppDep.GME.ACC.AS.BPC._DG2","CEN025D4","02:00:00 AM","240","DG2 BPC Application Specific Acceptance GME Terminal Servers","Occurs every 1 week(s) on Wednesday ","True"
"TS_AppDep.GME.ACC.AS.CampusSystem","CEN02AD3","02:00:00 AM","240","TS_AppDep.GME.ACC.AS.CampusSystem","Occurs every 1 week(s) on Friday ","True"
"TS_AppDep.GME.ACC.AS.Core5","CEN025EF","02:00:00 AM","240","Core5 Application Specific Acceptance GME Terminal Servers","Occurs every 1 week(s) on Tuesday ","True"
"TS_AppDep.GME.ACC.AS.Corptax","CEN025D5","02:00:00 AM","240","Corptax Application Specific Acceptance GME Terminal Servers","Occurs every 1 week(s) on Tuesday ","True"
"TS_AppDep.GME.ACC.AS.EMAPSS","CEN025E7","02:00:00 AM","240","EMAPSS Application Specific Acceptance GME Terminal Servers","Occurs every 1 week(s) on Tuesday ","True"
"TS_AppDep.GME.ACC.AS.EMAPSS._DG1","CEN025E8","02:00:00 AM","240","DG1 EMAPPS Application Specific Acceptance GME Terminal Servers","Occurs every 1 week(s) on Thursday ","True"
"TS_AppDep.GME.ACC.AS.FRS","CEN025D8","02:00:00 AM","240","FRS Application Specific Acceptance GME Terminal Servers","Occurs every 1 week(s) on Tuesday ","True"
"TS_AppDep.GME.ACC.AS.Gpet","CEN025DA","02:00:00 AM","240","Gpet Application Specific Acceptance GME Terminal Servers","Occurs every 1 week(s) on Tuesday ","True"
"TS_AppDep.GME.ACC.AS.Gpet._DG1","CEN025DC","02:00:00 AM","240","DG1 Gpet Application Specific Acceptance GME Terminal Servers","Occurs every 1 week(s) on Monday ","True"
"TS_AppDep.GME.ACC.AS.Gpet._DG2","CEN025DD","02:00:00 AM","240","DG2 Gpet Application Specific Acceptance GME Terminal Servers","Occurs every 1 week(s) on Wednesday ","True"
"TS_AppDep.GME.ACC.AS.IDEAS","CEN027C5","02:00:00 AM","240","TS_AppDep.GME.ACC.AS.IDEAS","Occurs every 1 week(s) on Tuesday ","True"
"TS_AppDep.GME.ACC.AS.IDEAS._DG1","CEN027C6","02:00:00 AM","240","TS_AppDep.GME.ACC.AS.IDEAS._DG1","Occurs every 1 week(s) on Monday ","True"
"TS_AppDep.GME.ACC.AS.IDEAS._DG2","CEN027C7","02:00:00 AM","240","TS_AppDep.GME.ACC.AS.IDEAS._DG2","Occurs every 1 week(s) on Wednesday ","True"
"TS_AppDep.GME.ACC.AS.Intoolsv2009","CEN025DE","02:00:00 AM","240","Intools v2009 Application Specific Acceptance GME Terminal Servers","Occurs every 1 week(s) on Friday ","True"
"TS_AppDep.GME.ACC.AS.Intoolsv2009._DG1","CEN02AA1","02:00:00 AM","240","DG1 Intoolsv2009 Application Specific Acceptance GME Terminal Servers","Occurs every 1 week(s) on Monday ","True"
"TS_AppDep.GME.ACC.AS.Intoolsv2009._DG2","CEN02AA2","02:00:00 AM","240","DG2 Intoolsv2009 Application Specific Acceptance GME Terminal Servers","Occurs every 1 week(s) on Wednesday ","True"
"TS_AppDep.GME.ACC.AS.Intoolsv2013","CEN0285D","02:00:00 AM","240","TS_AppDep.GME.ACC.AS.Intoolsv2013","Occurs every 1 week(s) on Tuesday ","True"
"TS_AppDep.GME.ACC.AS.Intoolsv2013._DG1","CEN0285F","02:00:00 AM","240","TS_AppDep.GME.ACC.AS.Intoolsv2013._DG1","Occurs every 1 week(s) on Monday ","True"
"TS_AppDep.GME.ACC.AS.Intoolsv2013._DG2","CEN02860","02:00:00 AM","240","TS_AppDep.GME.ACC.AS.Intoolsv2013._DG2","Occurs every 1 week(s) on Wednesday ","True"
"TS_AppDep.GME.ACC.AS.Intoolsv2013Capital","CEN02A89","02:00:00 AM","240","Intoolsv2013 Capital Group Application Specific Acceptance GME Terminal Servers","Occurs every 1 week(s) on Friday ","True"
"TS_AppDep.GME.ACC.AS.Meridium","CEN025EA","02:00:00 AM","240","Meridium Application Specific Acceptance GME Terminal Servers","Occurs every 1 week(s) on Tuesday ","True"
"TS_AppDep.GME.ACC.AS.Meridium._DG1","CEN025EB","02:00:00 AM","240","DG1 Meridium Application Specific Acceptance GME Terminal Servers","Occurs every 1 week(s) on Thursday ","True"
"TS_AppDep.GME.ACC.AS.OpsInsight","CEN025EE","02:00:00 AM","240","OpsInsight Application Specific Acceptance GME Terminal Servers","Occurs every 1 week(s) on Tuesday ","True"
"TS_AppDep.GME.ACC.AS.Phoenix","CEN025E9","02:00:00 AM","240","Phoenix Application Specific Acceptance GME Terminal Servers","Occurs every 1 week(s) on Tuesday ","True"
"TS_AppDep.GME.ACC.AS.PSIMS","CEN025D9","02:00:00 AM","240","PSIMS Application Specific Acceptance GME Terminal Servers","Occurs every 1 week(s) on Tuesday ","True"
"TS_AppDep.GME.ACC.AS.PTMS","CEN025D7","02:00:00 AM","240","PTMS Application Specific Acceptance GME Terminal Servers","Occurs every 1 week(s) on Tuesday ","True"
"TS_AppDep.GME.ACC.AS.Romeo","CEN02AD5","02:00:00 AM","240","TS_AppDep.GME.ACC.AS.Romeo","Occurs every 1 week(s) on Friday ","True"
"TS_AppDep.GME.ACC.AS.SatiSped","CEN025D1","02:00:00 AM","240","SatiSped Application Specific Acceptance GME Terminal Servers","Occurs every 1 week(s) on Tuesday ","True"
"TS_AppDep.GME.ACC.AS.Shipnet","CEN025E3","02:00:00 AM","240","Shipnet Application Specific Acceptance GME Terminal Servers","Occurs every 1 week(s) on Tuesday ","True"
"TS_AppDep.GME.ACC.AS.Shipnet._DG1","CEN025E4","02:00:00 AM","240","DG1 Shipnet Application Specific Acceptance GME Terminal Servers","Occurs every 1 week(s) on Monday ","True"
"TS_AppDep.GME.ACC.AS.SmartShift","CEN025D6","02:00:00 AM","240","SmartShift Application Specific Acceptance GME Terminal Servers","Occurs every 1 week(s) on Tuesday ","True"
"TS_AppDep.GME.ACC.AS.TM1","CEN02A0A","02:00:00 AM","120","TM1 Application Specific Acceptance GME Terminal Servers","Occurs every 1 week(s) on Friday ","True"
"TS_AppDep.GME.ACC.AS.TM1._DG1","CEN02A0A","N/A","N/A","N/A","N/A","N/A"
"TS_AppDep.GME.ACC.AS.TMS","CEN025DF","02:00:00 AM","240","TMS Application Specific Acceptance GME Terminal Servers","Occurs every 1 week(s) on Tuesday ","True"
"TS_AppDep.GME.ACC.AS.TMS._DG1","CEN025E0","02:00:00 AM","240","DG1 TMS Application Specific Acceptance GME Terminal Servers","Occurs every 1 week(s) on Monday ","True"
"TS_AppDep.GME.ACC.AS.TMS._DG2","CEN025E1","02:00:00 AM","240","DG2 TMS Application Specific Acceptance GME Terminal Servers","Occurs every 1 week(s) on Wednesday ","True"
"TS_AppDep.GME.ACC.AS.UTC","CEN025EC","02:00:00 AM","240","UTC Application Specific Acceptance GME Terminal Servers","Occurs every 1 week(s) on Tuesday ","True"
"TS_AppDep.GME.ACC.AS.WELLVIEW","CEN02AD6","02:00:00 AM","240","TS_AppDep.GME.ACC.AS.WELLVIEW","Occurs every 1 week(s) on Friday ","True"
"TS_AppDep.GME.ACC.AS.XTO","CEN025ED","02:00:00 AM","240","XTO Application Specific Acceptance GME Terminal Servers","Occurs every 1 week(s) on Tuesday ","True"
"TS_AppDep.GME.ACC.GP","CEN025F0","02:00:00 AM","240","General Purpose Acceptance GME Terminal Servers","Occurs every 1 week(s) on Friday ","True"
"TS_AppDep.GME.ACC.GP._DG1","CEN025F1","02:00:00 AM","240","DG1 General Purpose Acceptance GME Terminal Servers","Occurs every 1 week(s) on Monday ","True"
"TS_AppDep.GME.ACC.GP._DG2","CEN025F2","02:00:00 AM","240","DG2 General Purpose Acceptance GME Terminal Servers","Occurs every 1 week(s) on Wednesday ","True"
"TS_AppDep.GME.ACC.GP.DAL","CEN025FF","02:00:00 AM","240","DAL General Purpose Acceptance GME Terminal Servers","Occurs every 1 week(s) on Tuesday ","True"
"TS_AppDep.GME.ACC.GP.DOWNSTREAM","CEN025F3","02:00:00 AM","240","Downstream General Purpose Acceptance GME Terminal Servers","Occurs every 1 week(s) on Tuesday ","True"
"TS_AppDep.GME.ACC.GP.DOWNSTREAM._DG1","CEN025F4","02:00:00 AM","240","DG1 Downstream General Purpose Acceptance GME Terminal Servers","Occurs every 1 week(s) on Thursday ","True"
"TS_AppDep.GME.ACC.GP.DOWNSTREAM._DG2","CEN025F5","02:00:00 AM","240","DG2 Downstream General Purpose Acceptance GME Terminal Servers","Occurs every 1 week(s) on Thursday ","True"
"TS_AppDep.GME.ACC.GP.FRS","CEN02AD7","02:00:00 AM","240","TS_AppDep.GME.ACC.GP.FRS","Occurs every 1 week(s) on Friday ","True"
"TS_AppDep.GME.ACC.GP.HOE","CEN02601","02:00:00 AM","240","HOE General Purpose Acceptance GME Terminal Servers","Occurs every 1 week(s) on Tuesday ","True"
"TS_AppDep.GME.ACC.GP.HOE._DG1","CEN02602","02:00:00 AM","240","DG1 HOE General Purpose Acceptance GME Terminal Servers","Occurs every 1 week(s) on Friday ","True"
"TS_AppDep.GME.ACC.GP.HOE._DG2","CEN02603","02:00:00 AM","240","DG2 HOE General Purpose Acceptance GME Terminal Servers","Occurs every 1 week(s) on Friday ","True"
"TS_AppDep.GME.ACC.GP.SYN","CEN0294F","02:00:00 AM","240","SYN General Purpose Acceptance GME Terminal Servers","Occurs every 3 week(s) on Tuesday ","True"
"TS_AppDep.GME.ACC.GP.SYN._DG1","CEN02950","02:00:00 AM","240","DG1 SYN General Purpose Acceptance GME Terminal Servers","Occurs every 1 week(s) on Monday ","True"
"TS_AppDep.GME.ACC.GP.UDR","CEN02950","N/A","N/A","N/A","N/A","N/A"
"TS_AppDep.GME.ACC.GP.UPS","CEN025FE","02:00:00 AM","240","UPS General Purpose Acceptance GME Terminal Servers","Occurs every 1 week(s) on Tuesday ","True"
"TS_AppDep.GME.ACC.GP.UPSTREAM","CEN025F6","02:00:00 AM","240","Upstream General Purpose Acceptance GME Terminal Servers","Occurs every 1 week(s) on Tuesday ","True"
"TS_AppDep.GME.ACC.GP.UPSTREAM._DG1","CEN025F7","02:00:00 AM","240","DG1 Upstream General Purpose Acceptance GME Terminal Servers","Occurs every 1 week(s) on Thursday ","True"
"TS_AppDep.GME.ACC.GP.UPSTREAM._DG2","CEN025F8","02:00:00 AM","240","DG2 Upstream General Purpose Acceptance GME Terminal Servers","Occurs every 1 week(s) on Thursday ","True"
"TS_AppDep.GME.DEV","CEN0281D","02:00:00 AM","240","TS_AppDep.GME.DEV","Occurs the Third Tuesday of every 1 month(s) ","True"
"TS_AppDep.GME.DEV._DG1","CEN0281E","02:00:00 AM","240","TS_AppDep.GME.DEV._DG1","Occurs every 1 week(s) on Monday ","True"
"TS_AppDep.GME.DEV._DG2","CEN0281F","02:00:00 AM","240","TS_AppDep.GME.DEV._DG2","Occurs every 1 week(s) on Wednesday ","True"
"TS_AppDep.GME.DEV.AS","CEN02820","02:00:00 AM","240","TS_AppDep.GME.DEV.AS","Occurs the Third Tuesday of every 1 month(s) ","True"
"TS_AppDep.GME.DEV.AS._DG1","CEN02821","02:00:00 AM","240","TS_AppDep.GME.DEV.AS._DG1","Occurs every 1 week(s) on Monday ","True"
"TS_AppDep.GME.DEV.AS._DG2","CEN02822","02:00:00 AM","240","TS_AppDep.GME.DEV.AS._DG2","Occurs every 1 week(s) on Wednesday ","True"
"TS_AppDep.GME.DEV.AS.BPC","CEN02AD8","02:00:00 AM","240","TS_AppDep.GME.DEV.AS.BPC","Occurs every 1 week(s) on Friday ","True"
"TS_AppDep.GME.DEV.AS.EMAPSS","CEN02AD9","02:00:00 AM","240","TS_AppDep.GME.DEV.AS.EMAPSS","Occurs every 1 week(s) on Friday ","True"
"TS_AppDep.GME.DEV.AS.GPET","CEN02823","02:00:00 AM","240","TS_AppDep.GME.DEV.AS.GPET","Occurs the Third Tuesday of every 1 month(s) ","True"
"TS_AppDep.GME.DEV.AS.Intoolsv2009","CEN02A8A","02:00:00 AM","240","Intoolsv2009 Application Specific Development GME Terminal Servers","Occurs every 1 week(s) on Friday ","True"
"TS_AppDep.GME.DEV.AS.Intoolsv2009._DG1","CEN02A8B","02:00:00 AM","240","DG1 Intoolsv2009 Application Specific Development GME Terminal Servers","Occurs every 1 week(s) on Monday ","True"
"TS_AppDep.GME.DEV.AS.Intoolsv2009._DG2","CEN02A8C","02:00:00 AM","240","DG2 Intoolsv2009 Application Specific Development GME Terminal Servers","Occurs every 1 week(s) on Wednesday ","True"
"TS_AppDep.GME.DEV.AS.Intoolsv2013","CEN02A8D","02:00:00 AM","240","Intoolsv2013 Application Specific Development GME Terminal Servers","Occurs every 1 week(s) on Friday ","True"
"TS_AppDep.GME.DEV.AS.Intoolsv2013Capital","CEN02A8E","02:00:00 AM","240","Intoolsv2013 Capital Group Application Specific Development GME Terminal Servers","Occurs every 1 week(s) on Friday ","True"
"TS_AppDep.GME.DEV.AS.Meridium","CEN02824","02:00:00 AM","240","TS_AppDep.GME.DEV.AS.Meridium","Occurs the Third Tuesday of every 1 month(s) ","True"
"TS_AppDep.GME.DEV.AS.Meridium._DG1","CEN02825","02:00:00 AM","240","TS_AppDep.GME.DEV.AS.Meridium._DG1","Occurs every 1 week(s) on Monday ","True"
"TS_AppDep.GME.DEV.AS.Peep","CEN02ADA","02:00:00 AM","240","TS_AppDep.GME.DEV.AS.Peep","Occurs every 1 week(s) on Friday ","True"
"TS_AppDep.GME.DEV.AS.SHIPNET","CEN02ADB","02:00:00 AM","240","TS_AppDep.GME.DEV.AS.SHIPNET","Occurs every 1 week(s) on Friday ","True"
"TS_AppDep.GME.DEV.AS.TMS","CEN02ADC","02:00:00 AM","240","TS_AppDep.GME.DEV.AS.TMS","Occurs every 1 week(s) on Friday ","True"
"TS_AppDep.GME.DEV.GP","CEN02AE8","02:00:00 AM","240","TS_AppDep.GME.DEV.GP","Occurs every 1 week(s) on Friday ","True"
"TS_AppDep.GME.DEV.GP._DG1","CEN02AE9","02:00:00 AM","240","TS_AppDep.GME.DEV.GP._DG1","Occurs every 1 week(s) on Monday ","True"
"TS_AppDep.GME.DEV.GP._DG2","CEN02AEA","02:00:00 AM","240","TS_AppDep.GME.DEV.GP._DG2","Occurs every 1 week(s) on Wednesday ","True"
"TS_AppDep.GME.DEV.GP.ITAM","CEN02AEB","02:00:00 AM","240","TS_AppDep.GME.DEV.GP.ITAM","Occurs every 1 week(s) on Friday ","True"
"TS_AppDep.GME.DEV.GP.Packaging","CEN02AEC","02:00:00 AM","240","TS_AppDep.GME.DEV.GP.Packaging","Occurs every 1 week(s) on Friday ","True"
"TS_AppDep.GME.DEV.GP.TSEng","CEN02AED","02:00:00 AM","240","TS_AppDep.GME.DEV.GP.TSEng","Occurs every 1 week(s) on Friday ","True"
"TS_AppDep.GME.PRD","CEN02518","02:00:00 AM","240","TS_AppDep.GME.PRD","Occurs the Third Tuesday of every 1 month(s) ","True"
"TS_AppDep.GME.PRD._DG1","CEN02519","02:00:00 AM","240","TS_AppDep.GME.PRD._DG1","Occurs every 1 week(s) on Monday ","True"
"TS_AppDep.GME.PRD._DG2","CEN02604","02:00:00 AM","240","DG2 Production GME Terminal Servers","Occurs every 1 week(s) on Wednesday ","True"
"TS_AppDep.GME.PRD.AS","CEN0251A","02:00:00 AM","240","TS_AppDep.GME.PRD.AS","Occurs the Third Tuesday of every 1 month(s) ","True"
"TS_AppDep.GME.PRD.AS._DG1","CEN02605","02:00:00 AM","240","DG1 Application Specific Production GME Terminal Servers","Occurs every 1 week(s) on Monday ","True"
"TS_AppDep.GME.PRD.AS._DG2","CEN02606","02:00:00 AM","240","DG2 Application Specific Production GME Terminal Servers","Occurs every 1 week(s) on Wednesday ","True"
"TS_AppDep.GME.PRD.AS.4DServer","CEN02608","02:00:00 AM","240","4D Application Specific Production GME Terminal Servers","Occurs every 3 week(s) on Tuesday ","True"
"TS_AppDep.GME.PRD.AS.4DServer._DG1","CEN02609","02:00:00 AM","240","DG1 4D Application Specific Production GME Terminal Servers","Occurs every 1 week(s) on Monday ","True"
